PC1,PC2,risk_level
<<<<<<< HEAD
0.6739452512414006,0.03404952388896798,High
0.6956179099019011,-0.0583432314196049,Medium
0.025634808836635548,0.48870330817330887,Low
0.10716622412444887,0.4418728824024545,Low
0.16511867549422043,0.4468757930122039,Medium
0.03228007614309458,0.4851758847771085,Medium
-0.5279741976391877,-0.3380215068022422,Low
-0.6248945156640124,-0.28592718552175106,Low
-0.004433819506420467,0.479485697906181,Low
-0.41588048323342097,-0.4310225714098982,Medium
0.2471360645028342,0.3831948340818473,Medium
0.04223829853976857,0.42403217659540937,Low
0.12282716386190506,0.44484908034289006,Low
0.6968921588955033,-0.09358850510530631,Medium
0.10707209298255926,0.427373594733489,Medium
0.2338127575428104,0.4009229325893283,Medium
-0.06659134629446684,0.5297553752915398,Low
-0.5416776147194136,-0.35106511089330883,Low
-0.5417552600610915,-0.33621656143777856,Low
0.8995084650012888,0.009196961291153993,High
0.07447106744392573,0.43684481168521694,Low
-0.5646268430258752,-0.32798551792866454,Low
0.06090649113082475,0.5011233447473551,Low
-0.6857469425664027,-0.2364291191698641,Low
0.12114464164837457,0.44100984365557694,Medium
0.23562494893887498,0.3693433150646763,Medium
0.12147159734975443,0.42697921971069885,Low
-0.04000263992453357,0.5313497298091391,Low
0.12481389819234034,0.40995907742586024,Low
0.29404375136622984,0.35026976200376847,Medium
-0.5889871279812373,-0.2956139126622358,Low
1.047888203655196,-0.2886545188575778,Medium
-0.041611490898280534,0.5054100008558252,Low
0.016723037251163475,0.4970830915350958,Low
-0.5589739922757833,-0.3350469579116717,Low
-0.5379652147161192,-0.3628761118117,Low
-0.5408176685306738,-0.3710253884893244,Low
-0.493987963043947,-0.38339213780286957,Low
-0.6339207511578309,-0.27535323721406346,Low
-0.5949639362061969,-0.29958798117416663,Low
0.17735769656847644,0.37579377373827383,Medium
-0.3877609541228005,-0.43973665301061526,Medium
0.1397583938910335,0.4129507985475699,Low
0.7214376960132876,-0.10493164603975791,Medium
0.1730150938551931,0.40455740057366785,Medium
0.42732851609357225,0.2688728077325871,High
0.0056196100597678544,0.4587335765108561,Low
-0.5454609812858443,-0.3463457606538085,Low
0.04639425834972977,0.4609590071394395,Low
2.0369533217822555,-0.9941431007378235,High
-0.5003445162818432,-0.3362193695915889,Medium
0.12708536969118844,0.4156597128333491,Low
-0.577681052313933,-0.3159259495295418,Low
2.0108192658455586,-0.9010991665536199,High
0.7164641578587221,-0.09342825418367207,Medium
-0.03817280489328234,0.5419945651378988,Low
0.09910050492310896,0.41107030520758825,Low
0.015463690424665943,0.5206489260354337,Low
-0.03018033612778903,0.49829367441609196,Low
0.13056437751510575,0.40049740581624527,Medium
-0.5588638847836879,-0.3469035417303826,Low
0.18079483189236845,0.42254001066712366,Medium
-0.6094821497023702,-0.3176975976619182,Low
0.11691442920752282,0.44404226250457546,Low
-0.6582255905738239,-0.2741114046008287,Low
0.2866943796910557,0.3549419202364157,Medium
-0.6078339878387524,-0.3198154315316214,Medium
0.07946075439187061,0.45501085710401223,Medium
0.544712493658209,0.009407936150911123,Low
-0.5976569708128076,-0.34757531958582333,Low
-0.5201104337212795,-0.3212844866183048,Medium
0.19983452305719296,0.4061570550475031,Medium
1.903134555397189,-0.7848683488801943,High
