PC1,PC2,PC3,risk_level
-0.03817280489328234,0.5419945651378988,-0.026686724056706357,Low
0.09910050492310896,0.41107030520758825,0.15603190816000234,Low
0.015463690424665943,0.5206489260354337,-0.13840284658093155,Low
-0.03018033612778903,0.49829367441609196,0.11405055942426767,Low
0.13056437751510575,0.40049740581624527,0.08153403537566772,Medium
-0.5588638847836879,-0.3469035417303826,-0.06804487114955077,Low
0.18079483189236845,0.42254001066712366,-0.19880776695143404,Medium
-0.6094821497023702,-0.3176975976619182,-0.04606817436100735,Low
0.11691442920752282,0.44404226250457546,0.10749564241639586,Low
-0.6582255905738239,-0.2741114046008287,-0.012752396193869475,Low
0.2866943796910557,0.3549419202364157,-0.16647057886984679,Medium
-0.6078339878387524,-0.3198154315316214,0.04543793636261256,Medium
0.07946075439187061,0.45501085710401223,-0.09263791122922915,Medium
0.544712493658209,0.009407936150911123,0.8631648448440321,Low
-0.5976569708128076,-0.34757531958582333,0.051710115977962545,Low
-0.5201104337212795,-0.3212844866183048,-0.306408798624029,Medium
0.19983452305719296,0.4061570550475031,0.011880226499190516,Medium
1.903134555397189,-0.7848683488801943,-0.15001225742712587,High
-0.4996337173342573,-0.38742247029803845,-0.013710519187535297,Low
0.12335358643317618,0.46249858797600585,-0.012311837893725475,Low
0.15507360420184857,0.43620223552800663,0.0025454003918455315,Low
0.135836257508535,0.43096910192541027,0.04363682992953882,Low
0.07388941865041876,0.4396917389413362,0.1885177500001597,Low
0.18181915248224811,0.4135813696324152,-0.2074331596593691,Medium
-0.05766660669452417,0.5225285578721814,0.148450901426755,Low
0.012155220709036962,0.49098281832701196,0.015688364046753445,Low
0.1175948953380157,0.4368931106372458,-0.1004940582408625,Medium
0.5728944002014811,0.020932928246349014,0.8251412588772153,Low
-0.5502064687931494,-0.3340222195548972,-0.029092133107353313,Low
0.243251594107726,0.382518071674251,-0.34670929722063326,High
0.1649047373400746,0.38170434544036924,0.04762061723763311,Low
0.7372834434979654,-0.06999867898341394,0.6244607603602077,Medium
0.28988545174306146,0.38449116270537687,0.014823006434551811,Low
2.12751485548032,-0.9681604356595971,-0.2590980535407019,High
-0.6135519929777219,-0.2982689650308601,-0.01604198527193018,Low
0.2818440512160857,0.34403674687440267,0.04862873387217509,Low
-0.08826840893399868,0.5302750733959232,0.09728454487214999,Low
-0.41366243523346324,-0.4262662827574127,-0.146985854963146,Medium
-0.02839223261861895,0.47693952747646384,0.2190129705599836,Low
0.03465690056767762,0.4939716848798271,0.008357057338566454,Low
0.2327287896086091,0.3808070132824942,-0.11406243600626342,Medium
-0.688658860811892,-0.21718967855973337,-0.1164486686926473,Low
0.09793055958964375,0.491364002198009,-0.04083289484095609,Low
0.011977000644975533,0.5055171939682019,0.06252382321369604,Low
1.663514134308149,-0.7295708788304968,0.13791795740079948,High
